price (inr),price (php),demand est,demand est 2,final demand
1690,1134.228188,1.000000166,0.1658815236,1.165881689
1840,1234.899329,1.088757577,0.1806047357,1.269362313
1879,1261.073826,1.111834504,0.1844327709,1.296267275
3899,2616.778523,2.307100974,0.3827053612,2.689806335
1879,1261.073826,1.111834504,0.1844327709,1.296267275
3899,2616.778523,2.307100974,0.3827053612,2.689806335
10188,6837.583893,6.028403366,1.000000569,7.028403935
3899,2616.778523,2.307100974,0.3827053612,2.689806335
2109,1415.436242,1.247929201,0.2070083628,1.454937564
3899,2616.778523,2.307100974,0.3827053612,2.689806335
9860,6617.449664,5.834320493,0.9678058121,6.802126305
2109,1415.436242,1.247929201,0.2070083628,1.454937564
1719,1153.691275,1.017159932,0.1687280113,1.185887943
3709,2489.261745,2.19467492,0.3640559591,2.558730879
3500,2348.993289,2.07100626,0.3435416169,2.414547877
3499,2348.322148,2.070414544,0.3434434621,2.413858006
3699,2482.550336,2.188757759,0.3630744116,2.551832171
1633,1095.973154,0.9662723494,0.160286703,1.126559052
1719,1153.691275,1.017159932,0.1687280113,1.185887943
1749,1173.825503,1.034911414,0.1716726537,1.206584068